Number,Month,Day,Hour,Minute,Second,Easting (m),Northing (m),Depth (m),Magnitude Mw
1,10,25,22,11,4,5154.9,6477.4,2204.8,-0.12
2,10,26,22,33,55,3074.9,4827.4,3822.8,-0.15
3,10,27,1,5,45,1757.8,5790.4,3917.2,0.10
4,10,27,4,40,27,3081.6,4790.9,4035.4,-0.25
5,10,27,5,41,13,3005.6,4860.9,3794.1,-0.07
6,10,27,10,29,1,3440.0,5085.4,3230.8,-0.27
7,10,27,10,46,0,3023.9,4827.4,3818.5,0.05
8,10,27,10,51,53,3375.3,5098.4,3556.1,-0.27
9,10,27,11,31,2,3426.8,5149.4,3508.9,-0.28
10,10,27,11,35,39,3417.0,5009.4,3348.7,-0.07
11,10,27,11,43,21,3075.5,4751.4,3940.5,-0.05
12,10,27,11,43,41,3123.0,4921.9,4111.1,-0.05
13,10,27,11,46,15,3463.0,5081.9,3380.5,-0.16
14,10,27,12,1,23,3480.1,5102.4,3280.7,NaN
15,10,27,12,14,43,3454.4,5138.9,3381.1,-0.26
16,10,27,12,26,17,3435.1,5119.4,3310.2,-0.28
17,10,27,12,46,24,3416.7,4999.4,3247.5,-0.22
18,10,27,12,58,18,3437.3,5097.9,3316.7,-0.38
19,10,27,13,30,12,3449.6,5115.4,3323.6,0.03
20,10,27,14,3,49,3414.9,5179.4,3538.4,-0.08
21,10,27,14,30,50,3485.7,5118.4,3343.0,-0.16
22,10,27,14,56,46,3438.6,5133.4,3258.8,0.06
23,10,27,15,28,46,3477.3,5115.4,3326.5,-0.38
24,10,27,15,44,13,3413.9,5005.4,3325.5,-0.16
25,10,27,16,8,46,3471.1,5129.4,3343.3,-0.15
26,10,27,16,19,15,3036.1,4808.4,3853.9,-0.14
27,10,27,16,25,13,3450.8,5129.9,3356.4,-0.24
28,10,27,16,32,7,3078.2,4694.9,4093.8,-0.24
29,10,27,17,0,25,3435.8,5149.4,3563.6,-0.43
30,10,27,17,5,22,3030.5,4895.4,3994.9,-0.07
31,10,27,17,6,58,3493.4,5851.4,4319.3,-0.02
32,10,27,17,7,41,2981.0,4872.9,3795.2,0.02
33,10,27,17,9,32,3084.3,4901.9,4033.3,-0.14
34,10,27,17,15,8,3083.5,4800.4,3963.9,-0.03
35,10,27,17,20,51,3461.9,5122.9,3332.9,0.12
36,10,27,17,29,36,3451.4,5148.9,3267.7,-0.06
37,10,27,17,30,23,3036.9,4722.4,3959.7,-0.10
38,10,27,17,47,5,3014.3,4675.4,4055.0,-0.06
39,10,27,17,48,12,3419.9,5192.4,3385.9,-0.11
40,10,27,17,49,50,3057.5,4806.4,3793.4,-0.14
41,10,27,18,0,38,1658.2,3593.4,3937.5,-0.33
42,10,27,18,3,12,3060.6,4716.4,4118.1,0.00
43,10,27,18,10,34,3459.0,5120.4,3298.3,-0.37
44,10,27,18,17,13,3448.6,5123.9,3402.8,-0.22
45,10,27,18,22,13,3469.1,5140.4,3280.6,-0.61
46,10,27,18,39,20,3425.6,5013.4,3284.3,0.07
47,10,27,19,6,3,3461.4,5141.9,3356.5,-0.23
48,10,27,19,15,45,3419.4,5077.9,3360.6,0.12
49,10,27,19,16,23,3449.2,5131.9,3268.5,-0.14
50,10,27,19,16,33,3455.2,5140.9,3196.0,-0.32
51,10,27,19,42,57,3439.9,5149.4,3263.5,-0.05
52,10,27,19,51,22,3477.8,5135.4,3290.2,-0.45
53,10,27,20,3,54,3488.6,5105.4,3260.7,-0.11
54,10,27,20,22,37,3475.3,5115.4,3340.8,-0.32
55,10,27,20,25,57,3465.3,5135.4,3276.2,0.15
56,10,27,20,57,13,3478.9,5130.4,3322.8,-0.36
57,10,27,21,1,6,3461.7,5158.9,3279.2,-0.45
58,10,27,21,26,18,3427.0,5079.4,3248.6,0.27
59,10,27,21,43,16,3446.3,5136.9,3342.7,-0.24
60,10,27,21,59,38,3449.6,5161.4,3308.1,-0.78
61,10,27,22,15,52,3453.6,5138.4,3401.3,-0.45
62,10,27,22,36,39,3432.9,5090.4,3221.1,0.18
63,10,27,22,37,29,3463.9,5107.9,3360.7,-0.21
64,10,27,22,49,18,3470.6,5129.9,3380.2,-0.30
65,10,27,22,56,40,3452.0,5148.4,3391.1,-0.24
66,10,27,23,15,42,3451.1,5147.4,3284.9,-0.34
67,10,27,23,24,37,3469.4,5132.4,3307.5,-0.07
68,10,27,23,36,49,3429.0,5027.4,3443.4,-0.25
69,10,28,0,8,59,3446.5,5021.4,3128.7,0.22
70,10,28,0,12,54,3348.9,5014.9,3431.2,-0.32
71,10,28,0,44,21,3437.4,5031.4,3425.5,-0.14
72,10,28,0,44,25,3472.1,5168.9,3339.9,-0.15
73,10,28,1,19,14,3499.8,5132.4,3492.0,-0.45
74,10,28,1,32,51,3469.1,5165.4,3325.5,-0.28
75,10,28,1,42,33,3424.3,5015.9,3384.2,-0.09
76,10,28,1,54,56,3462.8,5125.9,3260.0,-0.38
77,10,28,2,12,58,3432.8,5023.9,3451.4,-0.15
78,10,28,2,13,27,3442.5,5088.9,3458.6,-0.32
79,10,28,2,32,55,3474.4,5139.9,3403.3,-0.66
80,10,28,3,10,45,3483.0,5142.9,3344.1,-0.10
81,10,28,3,23,0,3383.4,5048.9,3480.1,-0.11
82,10,28,3,23,52,3480.8,5079.4,3306.3,-0.56
83,10,28,4,12,21,3431.4,5101.4,3250.6,-0.01
84,10,28,4,36,5,3443.6,5123.4,3390.0,-0.23
85,10,28,5,17,16,3435.6,5029.4,3346.3,0.08
86,10,28,6,6,55,3342.7,5018.4,3321.2,-0.26
87,10,28,6,8,33,3446.4,5108.4,3300.7,-0.38
88,10,28,6,16,51,3279.9,4965.9,3316.4,-0.40
89,10,28,6,28,1,3400.8,5008.9,3382.8,-0.32
90,10,28,6,45,41,3426.0,5047.4,3287.3,-0.03
91,10,28,6,51,23,3447.9,5116.4,3462.2,-0.26
92,10,28,6,58,20,3402.2,5004.4,3369.1,-0.31
93,10,28,7,34,58,3342.4,5017.9,3368.4,-0.23
94,10,28,7,35,20,3442.3,5149.4,3299.7,-0.08
95,10,28,7,49,0,3190.3,4936.4,3311.3,-0.31
96,10,28,7,50,58,3415.4,4991.9,3443.8,-0.62
97,10,28,8,6,57,3280.3,4954.9,3465.0,-0.13
98,10,28,8,26,14,3324.6,4938.4,3320.6,-0.24
99,10,28,8,30,17,3460.6,5175.9,3317.1,-0.27
100,10,28,8,55,11,3466.2,5123.4,3350.1,-0.34
101,10,28,8,58,33,3262.7,4958.4,3393.0,-0.38
102,10,28,9,3,39,3359.5,4980.4,3311.3,-0.22
103,10,28,9,4,55,3254.6,4936.9,3327.6,-0.30
104,10,28,9,11,59,3430.2,5029.4,3219.3,0.08
105,10,28,9,12,44,3499.7,5094.4,3314.4,-0.34
106,10,28,9,32,51,3380.0,4982.9,3283.8,-0.42
107,10,28,9,33,38,3456.3,5086.9,3459.3,-0.34
108,10,28,9,33,44,3211.4,4984.9,3469.9,-0.31
109,10,28,9,40,53,3350.1,4892.9,3395.1,-0.27
110,10,28,9,54,36,3275.0,4972.9,3351.1,-0.24
111,10,28,10,5,15,3208.4,4940.9,3257.2,-1.34
112,10,28,10,7,23,3301.4,4952.4,3365.1,-0.40
113,10,28,10,18,4,3383.8,5000.9,3368.4,-0.25
114,10,28,10,19,24,3465.9,5155.4,3248.6,-0.43
115,10,28,10,25,15,3371.8,4958.4,3535.1,-0.19
116,10,28,10,35,3,3207.8,4961.9,3346.8,-0.23
117,10,28,10,49,29,3401.3,5002.9,3359.1,-0.24
118,10,28,10,54,55,3261.1,4968.4,3217.3,-0.25
119,10,28,11,9,1,3382.8,4995.4,3371.3,-0.43
120,10,28,11,10,34,3242.4,4952.9,3404.9,-0.29
121,10,28,11,21,28,3346.7,5000.4,3347.7,-0.16
122,10,28,11,43,28,3332.1,4912.4,3428.7,-0.15
123,10,28,11,51,54,3205.7,4879.4,3341.6,-0.27
124,10,28,11,59,58,3439.1,5106.4,3365.6,0.00
125,10,28,12,55,11,3388.4,5004.4,3372.7,-0.29
126,10,28,13,2,34,3421.7,5214.4,3354.0,-0.33
127,10,28,13,27,48,3364.2,4968.4,3566.5,-0.07
128,10,28,13,32,9,3275.6,4965.9,3369.2,-0.41
129,10,28,13,35,58,3291.4,4958.9,3305.2,-0.39
130,10,28,13,37,52,3274.9,4980.9,3482.0,-0.26
131,10,28,14,1,49,3354.6,4948.9,3425.3,-0.25
132,10,28,14,12,52,3446.7,5156.9,3365.3,-0.10
133,10,28,14,12,56,3457.4,5142.4,3312.5,-0.37
134,10,28,14,13,7,3463.3,5135.9,3410.0,-0.49
135,10,28,14,21,30,3297.5,4963.4,3347.5,-0.37
136,10,28,14,58,53,3348.9,4892.9,3233.8,-0.25
137,10,28,15,29,31,3336.5,5010.9,3475.5,-0.37
138,10,28,15,40,56,3444.4,5042.4,3202.7,0.04
139,10,28,15,43,35,3376.3,4942.4,3482.6,-0.28
140,10,28,15,43,56,3207.5,4962.9,3331.3,-0.34
141,10,28,16,3,44,3360.4,4958.4,3358.9,-0.39
142,10,28,16,9,43,3299.5,4962.4,3248.9,-0.28
143,10,28,16,34,18,3388.1,4987.4,3469.2,-0.20
144,10,28,16,43,32,3295.4,4981.9,3214.6,-0.57
145,10,28,17,2,35,3394.8,5005.9,3241.9,-0.37
146,10,28,17,24,41,3388.2,4992.4,3424.7,-0.56
147,10,28,17,31,24,3281.4,4961.4,3283.6,-0.09
148,10,28,17,44,58,3376.9,5012.4,3489.2,0.08
149,10,28,18,4,4,3208.3,4969.4,3522.5,-0.28
150,10,28,18,16,52,3454.2,5159.9,3306.2,-0.24
151,10,28,18,19,25,3433.0,5050.9,3322.5,-0.02
152,10,28,18,21,33,3225.3,4960.9,3499.1,-0.18
153,10,28,18,26,47,3354.0,4887.4,3379.5,-0.10
154,10,28,19,7,51,3275.1,4973.9,3325.4,-0.31
155,10,28,19,22,11,3371.6,4981.4,3347.7,-0.31
156,10,28,19,36,22,3470.0,5171.4,3551.7,-0.29
157,10,28,19,42,58,3268.4,4966.9,3352.3,-0.40
158,10,28,19,55,27,4895.2,6239.9,2043.8,-0.03
159,10,28,20,2,2,3263.5,4980.4,3284.4,-0.18
160,10,28,20,4,45,3417.9,4996.4,3378.0,-0.34
161,10,28,20,33,24,3400.4,5021.4,3293.8,-0.39
162,10,28,20,37,56,3270.0,4935.4,3531.1,-0.25
163,10,28,20,53,42,3179.4,4952.4,3461.7,-0.64
164,10,28,21,1,17,3377.1,5000.9,3349.9,0.02
165,10,28,21,45,30,3467.7,5161.4,3193.4,-0.30
166,10,28,21,45,37,3462.5,5157.9,3345.2,-0.14
167,10,28,21,45,52,3458.9,5125.4,3365.0,-0.22
168,10,28,21,46,20,3455.5,5120.9,3404.9,-0.32
169,10,28,22,6,40,3396.9,4999.4,3316.7,-0.22
170,10,28,22,20,31,3220.7,5002.4,3351.8,-0.22
171,10,28,22,21,19,3278.7,4980.4,3396.4,-0.06
172,10,28,22,48,39,3279.8,4973.9,3376.0,-0.19
173,10,28,23,16,5,3416.4,5001.4,3406.1,-0.21
174,10,28,23,44,33,3389.2,5007.4,3295.3,-0.12
175,10,28,23,55,47,3213.7,4868.4,3346.4,-0.15
176,10,29,0,8,25,3376.5,5000.9,3298.2,-0.31
177,10,29,0,33,47,3346.8,4890.4,3365.5,-0.10
178,10,29,0,42,58,1410.4,5681.4,4365.7,-0.36
179,10,29,0,54,10,3310.4,4937.4,3389.5,-0.11
180,10,29,0,54,20,3299.6,4940.4,3361.1,-0.25
181,10,29,0,56,10,3453.6,5182.4,3530.3,-0.23
182,10,29,1,9,8,3395.5,4969.9,3367.6,-0.05
183,10,29,2,12,4,3428.4,5031.4,3339.3,-0.15
184,10,29,2,20,22,3302.8,4981.4,3376.3,-0.40
185,10,29,2,21,17,5413.5,6500.4,4372.2,-0.10
186,10,29,3,11,47,3269.5,4959.4,3379.8,-0.16
187,10,29,3,32,18,3260.8,4977.9,3307.4,-0.06
188,10,29,3,50,3,3247.6,4926.9,3375.2,-0.23
189,10,29,3,58,25,3461.6,5126.9,3345.2,-0.24
190,10,29,3,59,18,3371.9,4990.9,3342.9,-0.59
191,10,29,3,59,34,3455.8,5110.9,3281.3,-0.89
192,10,29,4,1,1,2747.6,6500.4,4408.4,0.11
193,10,29,4,20,19,3367.4,5002.4,3347.5,-0.27
194,10,29,4,38,13,3260.7,4936.9,3314.6,-0.43
195,10,29,5,13,43,3349.0,4894.4,3199.3,-0.13
196,10,29,5,30,14,3275.0,4985.4,3294.3,-0.44
197,10,29,5,36,5,3295.1,4962.4,3132.3,-0.35
198,10,29,5,44,36,3253.5,4915.9,3293.7,-0.12
199,10,29,5,45,58,3292.9,4947.9,3353.3,-0.35
200,10,29,5,59,30,3444.2,5089.4,3172.9,-0.47
201,10,29,6,0,24,3465.4,5119.4,3375.2,-0.67
202,10,29,6,19,51,3253.5,4858.4,3305.9,-0.09
203,10,29,6,21,15,3220.9,5001.4,3348.7,-0.25
204,10,29,6,37,13,3407.0,4990.9,3292.5,-0.61
205,10,29,7,2,11,3415.6,5008.4,3221.9,-0.53
206,10,29,7,3,47,3390.4,5009.4,3307.7,-0.64
207,10,29,7,30,21,3357.1,4933.9,3312.1,0.02
208,10,29,7,34,47,3296.9,4995.4,3268.9,-0.12
209,10,29,8,5,13,3221.8,4992.4,3315.2,-0.28
210,10,29,8,8,56,3282.5,4976.4,3402.4,-0.11
211,10,29,8,12,4,3300.8,4978.4,3292.9,NaN
212,10,29,8,14,11,3291.9,4987.4,3406.0,-0.63
213,10,29,8,17,5,3265.0,4954.9,3367.0,-0.25
214,10,29,8,18,44,3253.6,4978.9,3336.2,-0.20
215,10,29,8,30,40,3397.3,4982.9,3351.4,-0.30
216,10,29,8,33,56,3253.0,4928.9,3249.0,0.24
217,10,29,8,34,25,3242.0,4916.9,3272.4,-0.15
218,10,29,9,19,10,3405.7,5000.4,3306.4,NaN
219,10,29,9,30,46,3381.7,5013.4,3321.4,0.02
220,10,29,9,42,55,3282.7,4985.4,3266.5,-0.36
221,10,29,9,45,46,3257.3,4913.9,3304.0,-0.05
222,10,29,10,11,18,3247.8,4930.9,3363.1,0.21
223,10,29,10,23,22,3481.7,5130.4,3317.1,-0.41
224,10,29,10,25,41,3257.3,4936.9,3316.8,-0.10
225,10,29,10,26,12,3322.8,4985.4,3275.8,-0.40
226,10,29,10,34,51,3302.4,4986.4,3415.4,-0.73
227,10,29,11,0,1,3408.6,5012.4,3347.2,0.00
228,10,29,11,9,42,3470.9,5170.9,3248.4,-0.20
229,10,29,11,14,3,3351.9,4960.9,3405.3,-0.31
230,10,29,11,34,16,3358.4,4875.9,3315.7,-0.15
231,10,29,11,58,8,3252.5,4929.4,3280.8,-0.01
232,10,29,11,58,20,3283.8,4995.4,3316.1,-0.12
233,10,29,12,14,22,3384.5,4998.9,3381.3,-0.40
234,10,29,12,31,13,3266.2,4962.4,3324.8,-0.38
235,10,29,12,33,17,3271.1,4946.9,3276.4,-0.49
236,10,29,12,43,59,3287.6,4988.4,3334.7,-0.22
237,10,29,12,44,10,3257.4,4915.4,3304.9,-0.03
238,10,29,12,44,16,3224.5,4992.4,3205.1,-0.36
239,10,29,12,44,32,3248.8,4847.4,3427.0,-0.17
240,10,29,13,16,14,3242.0,4911.4,3455.4,-0.37
241,10,29,13,22,4,3225.0,4996.4,3388.1,-0.09
242,10,29,13,23,18,3410.7,5010.4,3366.8,-0.27
243,10,29,13,24,49,3360.9,4947.9,3368.8,0.08
244,10,29,13,26,5,3317.6,4932.9,3273.4,-0.38
245,10,29,13,33,23,3292.6,4998.4,3250.6,-0.31
246,10,29,13,37,22,3274.7,5005.4,3244.3,-0.17
247,10,29,13,41,46,3246.0,4883.4,3374.2,-0.04
248,10,29,13,45,29,3255.9,4980.9,3316.3,-0.28
249,10,29,14,11,0,3238.8,4990.4,3386.6,-0.33
250,10,29,14,11,4,3226.7,4978.9,3407.4,-0.24
251,10,29,14,11,7,3274.5,4982.9,3319.4,-0.34
252,10,29,14,11,40,3272.3,4995.9,3411.4,-0.20
253,10,29,14,31,44,3365.4,4983.9,3395.3,-0.36
254,10,29,14,39,14,3290.8,4995.4,3312.7,-0.65
255,10,29,15,17,15,3397.2,5010.9,3340.8,-0.13
256,10,29,15,28,15,3250.7,4918.4,3262.2,-0.02
257,10,29,15,29,18,3249.6,4927.4,3298.2,-0.08
258,10,29,16,4,8,3219.5,4998.9,3318.8,-0.15
259,10,29,16,4,17,3218.9,4988.4,3324.2,-0.17
260,10,29,16,8,12,3433.3,5133.9,3310.4,-0.26
261,10,29,16,9,18,3484.9,5135.4,3502.8,-0.22
262,10,29,16,16,2,3403.2,5013.9,3359.8,-0.30
263,10,29,16,38,2,3369.9,4948.9,3308.1,-0.38
264,10,29,16,38,48,3390.8,5000.9,3288.1,-0.17
265,10,29,16,54,39,3173.5,4694.9,3217.6,-0.22
266,10,29,16,59,25,3263.8,4928.4,3352.2,-0.54
267,10,29,17,1,45,3264.2,4960.4,3431.8,-0.22
268,10,29,17,2,2,3241.0,4868.4,3353.9,0.09
269,10,29,17,2,10,3292.3,4982.4,3293.0,-0.28
270,10,29,17,11,7,3286.4,5008.4,3342.9,-0.35
271,10,29,17,16,12,3365.7,4990.9,3364.4,-0.61
272,10,29,17,21,12,3407.3,5015.4,3239.0,-0.20
273,10,29,17,30,55,3240.7,4985.9,3309.6,-0.67
274,10,29,17,48,9,3298.4,4960.4,3242.8,-0.41
275,10,29,18,0,32,3291.6,4968.9,3316.2,-1.00
276,10,29,18,8,4,3358.3,4947.4,3212.7,-0.53
277,10,29,18,17,17,3267.1,4874.4,3195.7,-0.03
278,10,29,18,17,33,3306.1,5002.4,3275.4,-0.29
279,10,29,18,46,0,3427.4,5003.4,3300.5,-0.22
280,10,29,18,51,27,3309.3,4981.9,3395.3,-0.23
281,10,29,19,11,26,3271.9,4982.4,3114.5,-0.23
282,10,29,19,12,12,3290.8,5010.9,3261.1,-0.42
283,10,29,19,41,42,3308.4,4916.4,3277.4,-0.18
284,10,29,19,41,50,3406.4,4978.4,3336.2,-0.66
285,10,29,19,46,48,3466.6,5166.4,3286.6,-0.36
286,10,29,20,8,14,3269.9,4983.9,3263.1,-0.11
287,10,29,20,8,19,3263.5,4990.4,3268.1,-0.46
288,10,29,20,17,54,3326.5,4994.4,3349.6,-0.22
289,10,29,20,19,30,3190.1,4913.9,3355.4,-0.16
290,10,29,20,19,35,3278.9,5020.9,3299.7,-0.11
291,10,29,20,41,39,3298.7,4972.4,3325.1,-0.59
292,10,29,20,43,18,3272.2,4995.9,3339.3,-0.10
293,10,29,21,0,35,3420.0,5016.9,3278.6,-0.91
294,10,29,21,4,40,3293.3,5009.9,3307.2,-0.23
295,10,29,21,14,19,3240.1,5031.4,3359.7,-0.31
296,10,29,21,33,47,3295.3,5003.9,3364.4,-0.37
297,10,29,21,34,37,3229.5,5015.9,3453.3,-0.26
298,10,29,21,48,34,3280.1,5001.4,3355.5,-0.05
299,10,29,21,51,18,3302.7,5018.9,3326.3,NaN
300,10,29,21,52,19,3310.6,5010.4,3288.2,-0.34
301,10,29,21,54,32,3232.2,5003.9,3071.2,-0.60
302,10,29,22,5,43,3404.7,5006.4,3406.4,-0.38
303,10,29,22,6,11,3409.1,5022.4,3344.1,-0.62
304,10,29,22,24,24,3234.9,5025.4,3413.5,0.00
305,10,29,22,49,44,3258.4,4934.4,3305.7,-0.06
306,10,29,22,49,55,3287.1,4999.9,3522.9,-0.31
307,10,29,22,59,24,3366.8,4964.4,3213.3,-1.17
308,10,29,23,0,30,3331.9,5012.9,3293.3,-1.32
309,10,29,23,21,3,3459.8,5162.4,3202.6,-0.25
310,10,29,23,29,4,3264.3,4933.4,3352.8,0.12
311,10,29,23,59,32,3306.1,4983.9,3319.6,-0.61
312,10,30,0,30,52,3410.7,5010.4,3370.2,-0.08
313,10,30,0,31,17,3345.5,5014.4,3510.0,-0.20
314,10,30,0,31,20,3341.8,4880.9,3230.3,-0.02
315,10,30,0,34,37,2695.9,1417.9,3515.5,-0.24
316,10,30,1,34,11,3232.9,5017.4,3353.4,-0.15
317,10,30,1,35,58,3283.8,5009.4,3389.6,-0.17
318,10,30,2,26,38,3398.6,4972.4,3277.9,-0.29
319,10,30,2,27,59,3257.3,4925.4,3162.5,0.03
320,10,30,2,41,38,3249.2,5021.9,3272.6,-0.35
321,10,30,3,0,12,3266.2,4980.4,3475.6,-1.30
322,10,30,3,7,40,3258.6,4927.9,3323.4,-0.08
323,10,30,3,7,45,3250.2,4873.4,3534.6,0.05
324,10,30,3,39,56,3298.4,4986.9,3379.0,-0.33
325,10,30,3,45,40,3296.1,5023.4,3364.1,-0.27
326,10,30,4,7,47,3280.0,4990.9,3292.4,-0.13
327,10,30,4,7,52,3274.1,4975.9,3264.9,-0.12
328,10,30,4,8,4,3280.8,4983.4,3302.9,-0.11
329,10,30,4,8,28,3280.5,4938.9,3470.4,-0.30
330,10,30,4,8,33,3401.3,5003.4,3542.1,-0.29
331,10,30,5,6,50,3263.5,4951.9,3222.9,0.03
332,10,30,5,22,41,3246.4,5028.9,3368.8,-0.20
333,10,30,6,52,14,3285.3,5003.4,3355.7,NaN
334,10,30,6,54,7,3345.1,5033.9,3470.4,NaN
335,10,30,7,3,29,3300.0,5020.4,3378.0,-0.22
336,10,30,7,12,7,3299.2,5013.9,3333.4,-0.22
337,10,30,7,26,33,3369.6,4982.4,3566.4,-0.15
338,10,30,7,58,18,3464.8,5147.4,3364.9,-0.18
339,10,30,7,59,26,3458.2,5136.4,3372.1,-0.49
340,10,30,8,13,0,3299.3,5020.4,3241.0,-0.20
341,10,30,8,13,41,3290.7,4973.4,3337.5,-0.31
342,10,30,8,40,32,3262.3,4955.4,3311.4,-0.03
343,10,30,8,40,58,3263.6,4947.4,3283.2,0.09
344,10,30,8,41,3,3292.4,4997.9,3271.3,-0.45
345,10,30,8,41,43,3260.8,4945.4,3218.9,0.02
346,10,30,9,38,40,3401.7,5011.4,3245.5,-0.57
347,10,30,9,40,51,3250.9,4931.4,3334.1,0.05
348,10,30,9,47,26,3255.8,4969.4,3270.0,-0.47
349,10,30,9,47,30,3292.4,4959.9,3426.6,-0.51
350,10,30,9,47,55,3235.3,4932.4,3494.4,-0.62
351,10,30,10,7,48,3393.7,5014.4,3375.8,-0.30
352,10,30,11,22,56,3402.5,4985.9,3297.5,-0.15
353,10,30,11,23,32,3412.5,4987.9,3306.7,-0.10
354,10,30,11,25,47,3263.0,4931.4,3321.9,0.01
355,10,30,11,25,51,3297.3,5030.4,3242.7,-0.21
356,10,30,13,20,52,3251.8,4941.9,3307.1,0.10
357,10,30,13,47,45,3382.4,4942.4,3370.8,-0.31
358,10,30,14,48,43,3273.4,4994.4,3348.6,-0.14
359,10,30,14,49,4,3291.7,4997.4,3272.2,-0.23
360,10,30,14,49,55,3243.6,4924.9,3365.5,0.05
361,10,30,14,56,38,3198.9,4902.4,3265.4,-0.03
362,10,30,15,23,38,3370.4,4970.9,3409.7,-0.90
363,10,30,15,23,53,3396.0,4995.4,3310.4,-0.51
364,10,30,16,19,21,3396.8,5011.9,3467.7,-0.29
365,10,30,16,19,45,3287.4,4973.9,3267.0,-0.23
366,10,30,16,21,46,3402.4,5000.4,3326.9,-0.24
367,10,30,17,14,47,3309.8,5016.9,3289.3,-0.13
368,10,30,17,15,34,3294.3,5017.9,3330.0,-0.26
369,10,30,18,36,18,3293.6,5020.9,3414.8,-0.19
370,10,30,18,36,40,3292.3,5014.4,3299.4,-0.23
371,10,30,18,36,55,3236.1,4996.9,3385.0,-0.04
372,10,30,18,37,1,3256.3,4943.4,3324.0,NaN
373,10,30,19,13,17,3402.2,5000.4,3363.1,-0.39
374,10,30,19,59,45,3249.6,5021.9,3478.8,-1.31
375,10,30,20,10,1,3388.6,5027.4,3265.8,-0.28
376,10,30,21,5,48,3233.1,5009.4,3328.1,-0.29
377,10,30,21,5,52,3278.5,4979.9,3234.8,-0.22
378,10,30,21,6,1,3276.1,4994.4,3247.6,-0.19
379,10,30,21,6,8,3273.1,4993.4,3246.8,-0.21
380,10,30,22,18,54,3286.9,4995.4,3262.7,-0.04
381,10,30,22,19,1,3269.5,4948.9,3318.0,0.03
382,10,30,23,11,38,3388.0,4981.4,3359.0,-0.29
383,10,30,23,15,13,3400.3,5000.4,3314.5,-0.23
384,10,30,23,15,27,3383.4,4998.4,3324.4,-0.39
385,10,31,0,17,19,3079.2,4528.9,3735.2,-0.20
386,10,31,1,27,36,3288.9,5025.9,3302.3,-0.11
387,10,31,1,28,13,3285.3,5011.9,3524.9,-0.30
388,10,31,1,28,22,3255.2,5038.4,3200.5,-0.26
389,10,31,1,28,39,3301.9,5024.4,3434.4,-0.12
390,10,31,1,29,21,3292.3,5010.9,3277.1,-0.25
391,10,31,1,29,42,3251.9,5022.4,3218.9,-0.35
392,10,31,1,29,58,3292.9,5027.4,3499.8,-0.20
393,10,31,1,30,6,3274.9,4997.9,3576.6,-0.23
394,10,31,1,40,49,3295.2,5003.4,3371.4,-0.34
395,10,31,1,44,7,3299.8,5032.9,3298.9,-0.34
396,10,31,1,44,42,3314.3,4997.9,3572.6,-0.34
397,10,31,1,48,17,3280.0,4994.4,3284.4,-0.43
398,10,31,1,57,15,3305.4,5031.9,3323.3,-0.35
399,10,31,2,0,44,3298.3,5023.4,3354.3,-0.47
400,10,31,2,8,37,3254.8,4978.4,3479.3,-0.44
401,10,31,2,14,29,3307.9,5018.4,3339.9,-0.40
402,10,31,2,28,58,3317.7,5026.4,3391.2,-0.13
403,10,31,2,29,30,3289.6,5033.4,3297.5,-0.04
404,10,31,2,32,25,3241.7,5022.9,3249.6,-0.53
405,10,31,2,37,58,3311.8,5018.9,3344.1,-0.42
406,10,31,2,40,49,3303.8,5036.9,3292.1,-0.50
407,10,31,2,42,56,3241.2,5012.9,3457.4,-0.60
408,10,31,2,46,12,3281.1,4992.4,3449.2,-0.50
409,10,31,2,46,28,3398.9,4984.4,3235.0,-0.45
410,10,31,2,48,44,3292.4,5015.4,3416.8,-0.37
411,10,31,2,54,34,3277.0,5024.9,3388.3,-0.24
412,10,31,2,54,42,3301.4,5031.9,3406.7,-0.44
413,10,31,2,55,12,3299.9,5001.4,3328.0,-0.35
414,10,31,3,29,39,3289.0,5025.9,3266.8,-0.08
415,10,31,3,29,57,3300.3,5032.4,3275.1,-0.15
416,10,31,5,45,43,3272.1,4936.4,3420.0,-0.28
417,10,31,6,13,31,3253.6,4938.9,3296.1,-0.10
418,10,31,6,14,3,3257.0,4907.9,3249.8,-0.23
419,10,31,6,14,47,3195.3,4886.4,3399.3,-0.27
420,10,31,6,15,32,3277.8,5019.4,3327.6,-0.13
421,10,31,6,18,34,3289.7,5027.4,3305.4,-0.22
422,10,31,7,17,23,3353.4,4907.9,3332.4,-0.08
423,10,31,7,18,23,3368.1,4967.9,3356.2,-0.48
424,10,31,8,44,7,3287.4,5020.9,3295.6,-0.07
425,10,31,9,27,26,3277.4,5020.4,3262.4,-0.13
426,10,31,10,47,46,3353.0,4992.4,3327.1,-0.33
427,10,31,13,43,47,3253.0,5074.4,3463.1,-0.29
428,10,31,16,24,14,3323.9,5031.4,3370.8,-0.42
429,10,31,19,7,53,3373.8,5015.9,3307.8,-0.06
430,10,31,19,12,47,3376.4,4959.9,3398.4,-0.53
431,10,31,19,28,8,3036.3,4550.4,3494.6,-0.54
432,10,31,19,31,39,3297.2,5029.4,3294.4,-0.19
433,10,31,19,32,34,3301.2,5005.4,3344.1,0.11
434,10,31,20,28,25,1005.7,5941.9,2728.0,-0.05
435,10,31,22,19,42,3139.8,4550.4,3924.4,-0.01
436,10,31,23,1,35,3024.6,4709.4,4063.6,-0.15
437,10,31,23,17,8,3134.2,4610.4,3502.7,-0.27
