X,Y,PP Time (ms),PP Time Error  (ms),Depth (m),Depth Error (m),Month,Day,Hour ,Minute
484643.4,6023081.96,2004.023991,17.29894981,3512.048436,51.38118278,10,28,0,44
484687.77,6023132.59,1944.164743,47.36868849,3368.075151,105.8241664,10,28,1,19
484668.36,6023142.08,1994.72922,9.514023266,3483.767428,28.98932208,10,28,1,32
484657.27,6023091.45,1987.162429,10.53923939,3462.502632,29.77289451,10,28,1,42
484693.32,6023043.99,1966.580658,39.85982207,3417.873052,101.4732607,10,28,1,54
484660.04,6023119.93,1976.311916,17.3521451,3438.773078,41.76128731,10,28,2,12
484648.95,6023088.29,2006.005733,11.90250489,3518.090793,34.91676011,10,28,2,32
484671.13,6023138.91,1991.935477,12.97868451,3475.143359,39.73545495,10,28,3,10
484626.76,6023050.32,1994.874483,17.69381414,3484.180737,52.77104068,10,28,3,23
484646.17,6023078.8,1995.386878,12.76121156,3485.519493,38.65209361,10,28,3,23
484687.77,6023132.59,1988.251502,8.539472529,3465.704149,23.98947532,10,28,4,12
484660.04,6023075.63,1980.402571,18.12029615,3447.444218,47.48627998,10,28,4,36
484682.23,6023100.95,1961.207635,33.73643888,3406.20119,78.17847832,10,28,5,17
484582.38,6023018.68,1997.391962,12.99825646,3491.399073,39.23832857,10,28,6,28
484671.13,6023132.59,1981.086292,15.96350453,3448.89095,41.53985361,10,28,6,45
484637.85,6023145.24,2000.097308,17.3676518,3499.671666,52.03284241,10,28,6,51
484590.7,6023066.14,1980.021151,16.97465886,3446.638213,43.63601917,10,28,6,58
484576.84,6022999.7,1988.593177,17.3652569,3466.712962,51.2386447,10,28,7,34
484668.36,6023142.08,1965.692707,27.03001966,3415.86147,61.73614785,10,28,7,35
484452.03,6022895.28,2005.350958,21.23695295,3516.204488,63.34670609,10,28,7,49
484599.02,6022961.73,1991.167539,12.11578256,3472.756854,37.00912994,10,28,7,50
484582.38,6022961.73,2022.35357,21.11449823,3566.690478,58.79099108,10,28,8,26
484737.7,6023119.93,2020.217282,32.99415812,3560.176364,93.01341016,10,28,8,30
484654.49,6023094.62,1989.289818,15.33645834,3468.429322,45.59728688,10,28,8,55
484460.35,6022904.77,2013.342992,22.12774366,3539.2474,63.70949119,10,28,8,58
484565.74,6022917.43,2034.162386,31.80299772,3599.53587,89.92370437,10,28,9,3
484482.54,6022917.43,1992.400369,31.85435121,3476.593622,96.08169596,10,28,9,4
484679.45,6023116.77,1977.695254,17.15638062,3441.732144,42.38207637,10,28,9,11
484665.59,6023100.95,2001.198799,21.6848548,3503.233593,65.12593023,10,28,9,12
484673.91,6023021.84,1998.199511,19.54769119,3493.890466,58.62002786,10,28,9,33
484576.84,6022968.05,2001.553737,12.36845926,3504.332376,36.53919458,10,28,9,40
484493.63,6022898.45,1958.970712,54.04364485,3401.138607,137.1396921,10,28,9,54
484476.99,6022923.76,2004.861442,19.37260603,3514.735281,57.87878809,10,28,10,5
484504.73,6022936.41,1984.262105,15.3226612,3455.597644,42.49141919,10,28,10,7
484599.02,6022993.37,2005.128873,14.01837723,3515.504055,41.38383,10,28,10,18
484721.05,6023195.87,2005.354536,16.61473727,3516.214171,49.26038954,10,28,10,19
484465.9,6022873.13,2001.619348,25.19916358,3504.551092,75.7137406,10,28,10,35
484604.57,6022999.7,1995.760252,9.955314312,3486.589991,30.60990867,10,28,10,49
484476.99,6022974.38,1978.229141,21.00851638,3442.837428,54.22198589,10,28,10,54
484593.48,6022987.04,2008.569003,16.39421112,3525.355463,49.48524688,10,28,11,9
484587.93,6022942.74,1988.393253,14.0025103,3466.124416,40.792364,10,28,11,43
484499.18,6022917.43,1939.316784,52.1597649,3356.535843,117.1856829,10,28,11,51
484682.23,6023119.93,1991.654955,8.650187865,3474.278067,26.05383347,10,28,11,59
484593.48,6022980.71,1991.568978,10.17595372,3474.010538,30.95308169,10,28,12,55
484643.4,6023138.91,2014.31762,26.64601101,3541.9522,76.40712595,10,28,13,2
484499.18,6022942.74,1995.124289,14.76151488,3484.85836,44.18956586,10,28,13,32
484488.09,6022917.43,1987.771251,11.0960789,3464.281446,31.73764702,10,28,13,35
484471.45,6022917.43,1992.069745,15.44422326,3475.558901,46.90177087,10,28,13,37
484604.57,6023006.02,1988.94508,9.60140095,3467.662417,27.34540187,10,28,14,1
484671.13,6023132.59,1987.568599,9.665475354,3463.683898,27.27614426,10,28,14,12
484660.04,6023119.93,1988.426861,9.413779896,3466.223709,26.49955542,10,28,14,12
484660.04,6023107.27,1997.2538,10.39136592,3491.016011,31.80824572,10,28,14,13
484488.09,6022949.07,1963.378637,31.64804691,3410.917923,73.68647817,10,28,14,21
484593.48,6022987.04,1972.975875,20.4541624,3431.735114,48.06500188,10,28,14,58
484568.52,6022977.55,1843.631494,122.3085441,3101.911982,314.4918341,10,28,15,29
484682.23,6023100.95,1978.823671,16.70331951,3444.093442,41.79353706,10,28,15,40
484557.42,6022926.92,1963.78935,31.99614723,3411.775648,74.8930937,10,28,15,43
484499.18,6022917.43,1997.852558,21.91008961,3492.762923,66.01594392,10,28,15,43
484565.74,6022936.41,2043.956263,31.70960218,3626.869803,90.17610247,10,28,16,3
484493.63,6022942.74,1925.938382,38.41396299,3323.609223,89.31044766,10,28,16,9
484579.61,6022964.89,1980.456784,15.56264145,3447.559077,39.83191006,10,28,16,34
484587.93,6022999.7,1964.618785,27.08330753,3413.491318,60.93235037,10,28,17,2
